type,unit_id,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_0_time_elapsed,q_1_farmers_question,q_1_farmers_value,q_1_time_elapsed,q_2_marks_question,q_2_marks_value,q_2_time_elapsed,q_3_athletics_question,q_3_athletics_value,q_3_time_elapsed,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_url,doc_accesses,doc_time_elapsed,distance
correct_15,unit_80,4,19-25,4 year college/bachelor degree,"75,000 to less than 100,000",Moderate,Democrat,Agree,Agree,23.11,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,5.57,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.02,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.7,1.0,mostly-true_doc3,2019 coronavirus can live forup to 3 hours in the air up to 4 hours on copper up to 24 hours on cardboard up to 3 days on plastic and stainless steel,Facebook Post,2020-18-03,Facebook Posts,4.0,mostly-true,5.0,https://about.fb.com/news/2020/03/combating-covid-19-misinformation/,1.0,212.05,1.0
correct_15,unit_80,4,19-25,4 year college/bachelor degree,"75,000 to less than 100,000",Moderate,Democrat,Agree,Agree,23.11,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,5.57,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.02,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.7,6.0,half-true_doc1,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeâ,Facebook Post,2020-31-03,Facebook Posts,3.0,half-true,4.0,https://www.factcheck.org/fake-news/,4.0,73.32,1.0
correct_15,unit_2,1,36-50,"Postgrad. or professional schooling, no degree","40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,49.53,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,7.18,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.88,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.52,1.0,mostly-true_doc2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,Facebook Post,2020-20-03,Facebook Posts,4.0,mostly-true,4.0,https://www.facebook.com/help/333140160100643/,1.0,50.55,0.0
correct_15,unit_2,1,36-50,"Postgrad. or professional schooling, no degree","40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,49.53,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,7.18,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.88,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.52,7.0,half-true_doc2,North Carolinahospital beds are typically 85 full across the stateâ,Jeff Jackson,2020-19-03,Tweet,3.0,half-true,4.0,https://www.islandpacket.com/news/health-care/article243228386.html,1.0,59.22,1.0
correct_15,unit_6,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Very conservative,Democrat,Agree,Disagree,17.07,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,16.99,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,22.76,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,90.11,2.0,mostly-true_doc2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,Facebook Post,2020-20-03,Facebook Posts,4.0,mostly-true,2.0,https://www.usatoday.com/story/news/nation/2020/08/03/covid-updates-birx-coronavirus-new-phase-stimulus-negotiations/5568418002/,1.0,91.23,2.0
correct_15,unit_6,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Very conservative,Democrat,Agree,Disagree,17.07,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,16.99,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,22.76,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,90.11,5.0,half-true_doc2,North Carolinahospital beds are typically 85 full across the stateâ,Jeff Jackson,2020-19-03,Tweet,3.0,half-true,1.0,https://dailycaller.com/2020/07/06/stanford-scott-atlas-coronavirus-texas-hospitalizations/,1.0,59.93,2.0
correct_15,unit_34,3,50-80,"Postgrad. or professional schooling, no degree","40,000 to less than 50,000",Very liberal,Republican,Agree,Agree,44.61,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,7.54,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,5.34,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,7.36,1.0,half-true_doc8,45 nations had already movedâ to enforce travel restrictions with Chinabefore the president moved,Joe Biden,5/4/2020,"ABC ""This Week"" interview",3.0,half-true,5.0,https://www.breitbart.com/tag/joe-biden/,1.0,166.3,2.0
correct_15,unit_34,3,50-80,"Postgrad. or professional schooling, no degree","40,000 to less than 50,000",Very liberal,Republican,Agree,Agree,44.61,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,7.54,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,5.34,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,7.36,7.0,mostly-true_doc10,Says for the coronavirusthe death rate in Texas per capita of 29 million people were one of the lowest in the country,Dan Patrick,2020-31-03,Briefing,4.0,mostly-true,3.0,https://foxsportsradio.iheart.com/featured/the-dan-patrick-show/,3.0,191.34,1.0
correct_15,unit_65,2,50-80,4 year college/bachelor degree,"30,000 to less than 40,000",Liberal,Republican,Agree,Agree,71.12,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,70.79,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,39.02,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,54.02,1.0,mostly-true_doc7,Three Chinese nationals were apprehended trying to cross our Southern border illegally Each had flulike symptoms Border Patrol quickly quarantined them and assessed any threat of coronavirus,Charlie Kirk,2020-24-02,Tweet,4.0,mostly-true,4.0,https://creativedestructionmedia.com/analysis/2020/02/26/the-fear-virus-3-chinese-caught-at-mexico-border-with-flu-quarantines-in-ny-korean-cult-spreads-covid-19/,1.0,183.3,0.0
correct_15,unit_22,1,19-25,4 year college/bachelor degree,"40,000 to less than 50,000",Very conservative,Republican,Agree,Agree,34.05,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,138.93,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,119.4,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,44.81,0.0,mostly-true_doc9,Says a California surfer wasalone in the oceanâ when he was arrested for violating the stateâs stayathome order,Viral Image,8/4/2020,Viral Image,4.0,mostly-true,3.0,https://www.usatoday.com/story/news/factcheck/2020/07/22/fact-check-viral-photo-shows-obama-fauci-visiting-nih-lab-2014/5476106002/,1.0,629.3,1.0
correct_15,unit_22,1,19-25,4 year college/bachelor degree,"40,000 to less than 50,000",Very conservative,Republican,Agree,Agree,34.05,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,138.93,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,119.4,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,44.81,7.0,half-true_doc3,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,Facebook Post,2020-15-03,Facebook Posts,3.0,half-true,1.0,https://www.cnbc.com/2018/03/27/oscar-health-raises-165-million-at-3-point-2-billion-alphabet-founders.html,1.0,48.43,2.0
correct_15,unit_75,3,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Very liberal,Democrat,Agree,Disagree,15.17,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,6.54,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.9,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.16,2.0,mostly-true_doc5,Says 80 of novel coronavirus cases aremildâ,Chart,9/3/2020,Viral Image,4.0,mostly-true,1.0,https://www.todayonline.com/world/covid-19-more-80-patients-have-mild-disease-and-recover-says-who-chief,1.0,61.03,3.0
correct_15,unit_23,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Democrat,Agree,Agree,271.49,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,12.42,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.61,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.58,1.0,mostly-true_doc9,Says a California surfer wasalone in the oceanâ when he was arrested for violating the stateâs stayathome order,Viral Image,8/4/2020,Viral Image,4.0,mostly-true,1.0,https://www.si.com/nhl/2020/08/04/stars-knights-players-kneel-national-anthem,1.0,461.68,3.0
correct_15,unit_23,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Democrat,Agree,Agree,271.49,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,12.42,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.61,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.58,3.0,half-true_doc3,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,Facebook Post,2020-15-03,Facebook Posts,3.0,half-true,4.0,https://www.ujrefugees.net/viewtopic.php?f=1&t=2739&start=2500,1.0,31.04,1.0
correct_15,unit_95,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Democrat,Disagree,Agree,43.69,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,26.63,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,31.76,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,26.29,2.0,half-true_doc10,Nonessential people get to file for unemployment and make two to three times more than normalâ but essential workers still on the job get no pay raise,Facebook Post,1/4/2020,Facebook posts,3.0,half-true,4.0,https://leadstories.com/hoax-alert/2020/04/fact-check-unemployed-get-600-per-week-while-essential-workers-are-required-to-report-without-care-assistance.html,1.0,273.7,1.0
correct_15,unit_95,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Democrat,Disagree,Agree,43.69,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,26.63,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,31.76,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,26.29,4.0,true_doc5,Says Spectrum will provide free internet to students during coronavirus school closures,Viral Image,2020-13-03,Facebook Post,5.0,TRUE,5.0,https://www.msn.com/en-us/news/technology/spectrum-to-offer-students-free-internet-amid-covid-19-school-closures/ar-BB11gv5h,1.0,69.49,0.0
correct_15,unit_71,1,26-35,4 year college/bachelor degree,"40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,37.34,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,27.06,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,16.05,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,72.13,4.0,mostly-true_doc5,Says 80 of novel coronavirus cases aremildâ,Chart,9/3/2020,Viral Image,4.0,mostly-true,3.0,https://www.thefreedictionary.com/chart,3.0,49.29,1.0
correct_15,unit_76,1,26-35,4 year college/bachelor degree,"40,000 to less than 50,000",Conservative,Democrat,Agree,Agree,195.03,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,12.6,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,11.22,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,16.55,4.0,mostly-true_doc5,Says 80 of novel coronavirus cases aremildâ,Chart,9/3/2020,Viral Image,4.0,mostly-true,3.0,https://www.medicalnewstoday.com/articles/coronavirus-81-of-cases-are-mild-study-says,1.0,43.79,1.0
correct_15,unit_59,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Republican,No opinion either way,Agree,39.46,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,46.81,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,58.56,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,39.34,5.0,half-true_doc4,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,Brian Fitzpatrick,2020-23-03,Comments On The Radio,3.0,half-true,2.0,https://www.thefreedictionary.com/4,1.0,217.06,1.0
correct_15,unit_59,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Republican,No opinion either way,Agree,39.46,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,46.81,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,58.56,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,39.34,7.0,mostly-true_doc4,Bill Gates told us about the coronavirus in 2015,Facebook Post,2020-15-03,Facebook Posts,4.0,mostly-true,3.0,http://www.google.com/,1.0,115.4,1.0
correct_15,unit_30,1,26-35,"Postgrad. or professional schooling, no degree","20,000 to less than 30,000",Moderate,Republican,No opinion either way,Agree,42.32,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,47.1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,30.35,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,52.89,4.0,mostly-true_doc10,Says for the coronavirusthe death rate in Texas per capita of 29 million people were one of the lowest in the country,Dan Patrick,2020-31-03,Briefing,4.0,mostly-true,4.0,https://www.kvue.com/article/news/health/coronavirus/coronavirus-texas-cases-by-capita-comparision-other-states/269-8dd64531-6f17-4906-b6c9-0b354b57a10a,2.0,224.5,0.0
correct_15,unit_30,1,26-35,"Postgrad. or professional schooling, no degree","20,000 to less than 30,000",Moderate,Republican,No opinion either way,Agree,42.32,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,47.1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,30.35,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,52.89,6.0,half-true_doc8,45 nations had already movedï½ to enforce travel restrictions with Chinabefore the president moved,Joe Biden,5/4/2020,"ABC ""This Week"" interview",3.0,half-true,4.0,https://www.statesman.com/news/20200413/fact-check-was-trump-slow-to-halt-travel-from-china,1.0,68.66,1.0
correct_15,unit_50,1,26-35,4 year college/bachelor degree,"40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,19.71,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,4.34,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,6.1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.56,3.0,mostly-true_doc4,Bill Gates told us about the coronavirus in 2015,Facebook Post,2020-15-03,Facebook Posts,4.0,mostly-true,4.0,https://about.fb.com/news/2019/02/inside-feed-facebook-26-friends-algorithm-myth/,1.0,25.07,0.0
correct_15,unit_50,1,26-35,4 year college/bachelor degree,"40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,19.71,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,4.34,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,6.1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.56,7.0,half-true_doc4,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,Brian Fitzpatrick,2020-23-03,Comments On The Radio,3.0,half-true,4.0,https://levittownnow.com/2020/07/17/poll-shows-congressman-fitzpatrick-leading-over-challenger-finello-trump-behind-biden-in-first-district/,1.0,20.13,1.0
correct_15,unit_96,1,36-50,4 year college/bachelor degree,"30,000 to less than 40,000",Moderate,Republican,Agree,Agree,18.61,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,29.03,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,9.53,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,27.62,5.0,true_doc5,Says Spectrum will provide free internet to students during coronavirus school closures,Viral Image,2020-13-03,Facebook Post,5.0,TRUE,5.0,https://www.usatoday.com/story/news/factcheck/2020/07/22/fact-check-viral-photo-shows-obama-fauci-visiting-nih-lab-2014/5476106002/,1.0,20.7,0.0
correct_15,unit_96,1,36-50,4 year college/bachelor degree,"30,000 to less than 40,000",Moderate,Republican,Agree,Agree,18.61,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,29.03,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,9.53,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,27.62,6.0,half-true_doc10,Nonessential people get to file for unemployment and make two to three times more than normalï½ but essential workers still on the job get no pay raise,Facebook Post,1/4/2020,Facebook posts,3.0,half-true,5.0,https://www.facebook.com/facebook/posts/,1.0,21.2,2.0
correct_15,unit_1,1,19-25,4 year college/bachelor degree,"100,000 to less than 150,000",Liberal,Democrat,Agree,Agree,21.6,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,6.23,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.03,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,7.84,3.0,mostly-true_doc2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,Facebook Post,2020-20-03,Facebook Posts,4.0,mostly-true,4.0,https://www.wave3.com/,1.0,163.08,0.0
correct_15,unit_1,1,19-25,4 year college/bachelor degree,"100,000 to less than 150,000",Liberal,Democrat,Agree,Agree,21.6,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,6.23,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.03,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,7.84,4.0,half-true_doc2,North Carolinahospital beds are typically 85 full across the stateâ,Jeff Jackson,2020-19-03,Tweet,3.0,half-true,4.0,https://www.wral.com/,1.0,85.75,1.0
