file,type,value,rate
correct_false_all,q_0_taxes_answer,"100,000 to less than 150,000",0.12727272727272726
correct_false_all,q_0_taxes_answer,"150,000 or more",0.01818181818181818
correct_false_all,q_0_taxes_answer,"20,000 to less than 30,000",0.07272727272727272
correct_false_all,q_0_taxes_answer,"30,000 to less than 40,000",0.16363636363636364
correct_false_all,q_0_taxes_answer,"40,000 to less than 50,000",0.14545454545454545
correct_false_all,q_0_taxes_answer,"50,000 to less than 75,000",0.18181818181818182
correct_false_all,q_0_taxes_answer,"75,000 to less than 100,000",0.10909090909090909
correct_false_all,q_0_taxes_answer,"Less than 10,000",0.10909090909090909
correct_false_politifact,q_0_taxes_answer,"100,000 to less than 150,000",0.17857142857142858
correct_false_politifact,q_0_taxes_answer,"20,000 to less than 30,000",0.07142857142857142
correct_false_politifact,q_0_taxes_answer,"30,000 to less than 40,000",0.17857142857142858
correct_false_politifact,q_0_taxes_answer,"40,000 to less than 50,000",0.21428571428571427
correct_false_politifact,q_0_taxes_answer,"50,000 to less than 75,000",0.14285714285714285
correct_false_politifact,q_0_taxes_answer,"75,000 to less than 100,000",0.14285714285714285
correct_false_politifact,q_0_taxes_answer,"Less than 10,000",0.07142857142857142
correct_true_abc,q_0_taxes_answer,"10,000 to less than 20,000",0.041666666666666664
correct_true_abc,q_0_taxes_answer,"100,000 to less than 150,000",0.10416666666666667
correct_true_abc,q_0_taxes_answer,"150,000 or more",0.041666666666666664
correct_true_abc,q_0_taxes_answer,"20,000 to less than 30,000",0.0625
correct_true_abc,q_0_taxes_answer,"30,000 to less than 40,000",0.14583333333333334
correct_true_abc,q_0_taxes_answer,"40,000 to less than 50,000",0.1875
correct_true_abc,q_0_taxes_answer,"50,000 to less than 75,000",0.20833333333333334
correct_true_abc,q_0_taxes_answer,"75,000 to less than 100,000",0.1875
correct_true_abc,q_0_taxes_answer,"Less than 10,000",0.020833333333333332
correct_true_all,q_0_taxes_answer,"10,000 to less than 20,000",0.0673076923076923
correct_true_all,q_0_taxes_answer,"100,000 to less than 150,000",0.09615384615384616
correct_true_all,q_0_taxes_answer,"150,000 or more",0.04807692307692308
correct_true_all,q_0_taxes_answer,"20,000 to less than 30,000",0.057692307692307696
correct_true_all,q_0_taxes_answer,"30,000 to less than 40,000",0.11538461538461539
correct_true_all,q_0_taxes_answer,"40,000 to less than 50,000",0.19230769230769232
correct_true_all,q_0_taxes_answer,"50,000 to less than 75,000",0.23076923076923078
correct_true_all,q_0_taxes_answer,"75,000 to less than 100,000",0.16346153846153846
correct_true_all,q_0_taxes_answer,"Less than 10,000",0.028846153846153848
correct_true_politifact,q_0_taxes_answer,"10,000 to less than 20,000",0.08928571428571429
correct_true_politifact,q_0_taxes_answer,"100,000 to less than 150,000",0.08928571428571429
correct_true_politifact,q_0_taxes_answer,"150,000 or more",0.05357142857142857
correct_true_politifact,q_0_taxes_answer,"20,000 to less than 30,000",0.05357142857142857
correct_true_politifact,q_0_taxes_answer,"30,000 to less than 40,000",0.08928571428571429
correct_true_politifact,q_0_taxes_answer,"40,000 to less than 50,000",0.19642857142857142
correct_true_politifact,q_0_taxes_answer,"50,000 to less than 75,000",0.25
correct_true_politifact,q_0_taxes_answer,"75,000 to less than 100,000",0.14285714285714285
correct_true_politifact,q_0_taxes_answer,"Less than 10,000",0.03571428571428571
wrong_false_abc,q_0_taxes_answer,"10,000 to less than 20,000",0.027777777777777776
wrong_false_abc,q_0_taxes_answer,"100,000 to less than 150,000",0.05555555555555555
wrong_false_abc,q_0_taxes_answer,"150,000 or more",0.05555555555555555
wrong_false_abc,q_0_taxes_answer,"20,000 to less than 30,000",0.1111111111111111
wrong_false_abc,q_0_taxes_answer,"30,000 to less than 40,000",0.25
wrong_false_abc,q_0_taxes_answer,"40,000 to less than 50,000",0.16666666666666666
wrong_false_abc,q_0_taxes_answer,"50,000 to less than 75,000",0.1388888888888889
wrong_false_abc,q_0_taxes_answer,"75,000 to less than 100,000",0.1388888888888889
wrong_false_abc,q_0_taxes_answer,"Less than 10,000",0.05555555555555555
wrong_false_all,q_0_taxes_answer,"10,000 to less than 20,000",0.06060606060606061
wrong_false_all,q_0_taxes_answer,"100,000 to less than 150,000",0.045454545454545456
wrong_false_all,q_0_taxes_answer,"150,000 or more",0.030303030303030304
wrong_false_all,q_0_taxes_answer,"20,000 to less than 30,000",0.10606060606060606
wrong_false_all,q_0_taxes_answer,"30,000 to less than 40,000",0.16666666666666666
wrong_false_all,q_0_taxes_answer,"40,000 to less than 50,000",0.19696969696969696
wrong_false_all,q_0_taxes_answer,"50,000 to less than 75,000",0.18181818181818182
wrong_false_all,q_0_taxes_answer,"75,000 to less than 100,000",0.13636363636363635
wrong_false_all,q_0_taxes_answer,"Less than 10,000",0.07575757575757576
wrong_false_politifact,q_0_taxes_answer,"10,000 to less than 20,000",0.1
wrong_false_politifact,q_0_taxes_answer,"100,000 to less than 150,000",0.03333333333333333
wrong_false_politifact,q_0_taxes_answer,"20,000 to less than 30,000",0.1
wrong_false_politifact,q_0_taxes_answer,"30,000 to less than 40,000",0.06666666666666667
wrong_false_politifact,q_0_taxes_answer,"40,000 to less than 50,000",0.23333333333333334
wrong_false_politifact,q_0_taxes_answer,"50,000 to less than 75,000",0.23333333333333334
wrong_false_politifact,q_0_taxes_answer,"75,000 to less than 100,000",0.13333333333333333
wrong_false_politifact,q_0_taxes_answer,"Less than 10,000",0.1
wrong_true_abc,q_0_taxes_answer,"100,000 to less than 150,000",0.1
wrong_true_abc,q_0_taxes_answer,"20,000 to less than 30,000",0.1
wrong_true_abc,q_0_taxes_answer,"30,000 to less than 40,000",0.2
wrong_true_abc,q_0_taxes_answer,"50,000 to less than 75,000",0.1
wrong_true_abc,q_0_taxes_answer,"75,000 to less than 100,000",0.3
wrong_true_abc,q_0_taxes_answer,"Less than 10,000",0.2
wrong_true_all,q_0_taxes_answer,"100,000 to less than 150,000",0.05555555555555555
wrong_true_all,q_0_taxes_answer,"20,000 to less than 30,000",0.05555555555555555
wrong_true_all,q_0_taxes_answer,"30,000 to less than 40,000",0.3333333333333333
wrong_true_all,q_0_taxes_answer,"40,000 to less than 50,000",0.1111111111111111
wrong_true_all,q_0_taxes_answer,"50,000 to less than 75,000",0.1111111111111111
wrong_true_all,q_0_taxes_answer,"75,000 to less than 100,000",0.2222222222222222
wrong_true_all,q_0_taxes_answer,"Less than 10,000",0.1111111111111111
wrong_true_politifact,q_0_taxes_answer,"30,000 to less than 40,000",0.5
wrong_true_politifact,q_0_taxes_answer,"40,000 to less than 50,000",0.25
wrong_true_politifact,q_0_taxes_answer,"50,000 to less than 75,000",0.125
wrong_true_politifact,q_0_taxes_answer,"75,000 to less than 100,000",0.125
correct_false_abc,q_0_political_views_answer,Conservative,0.037037037037037035
correct_false_abc,q_0_political_views_answer,Liberal,0.3333333333333333
correct_false_abc,q_0_political_views_answer,Moderate,0.25925925925925924
correct_false_abc,q_0_political_views_answer,Very conservative,0.037037037037037035
correct_false_abc,q_0_political_views_answer,Very liberal,0.3333333333333333
correct_false_all,q_0_political_views_answer,Conservative,0.07272727272727272
correct_false_all,q_0_political_views_answer,Liberal,0.32727272727272727
correct_false_all,q_0_political_views_answer,Moderate,0.23636363636363636
correct_false_all,q_0_political_views_answer,Very conservative,0.05454545454545454
correct_false_all,q_0_political_views_answer,Very liberal,0.3090909090909091
correct_false_politifact,q_0_political_views_answer,Conservative,0.10714285714285714
correct_false_politifact,q_0_political_views_answer,Liberal,0.32142857142857145
correct_false_politifact,q_0_political_views_answer,Moderate,0.21428571428571427
correct_false_politifact,q_0_political_views_answer,Very conservative,0.07142857142857142
correct_false_politifact,q_0_political_views_answer,Very liberal,0.2857142857142857
correct_true_abc,q_0_political_views_answer,Conservative,0.0625
correct_true_abc,q_0_political_views_answer,Liberal,0.3125
correct_true_abc,q_0_political_views_answer,Moderate,0.25
correct_true_abc,q_0_political_views_answer,Very conservative,0.14583333333333334
correct_true_abc,q_0_political_views_answer,Very liberal,0.22916666666666666
correct_true_all,q_0_political_views_answer,Conservative,0.08653846153846154
correct_true_all,q_0_political_views_answer,Liberal,0.27884615384615385
correct_true_all,q_0_political_views_answer,Moderate,0.25961538461538464
correct_true_all,q_0_political_views_answer,Very conservative,0.14423076923076922
correct_true_all,q_0_political_views_answer,Very liberal,0.23076923076923078
correct_true_politifact,q_0_political_views_answer,Conservative,0.10714285714285714
correct_true_politifact,q_0_political_views_answer,Liberal,0.25
correct_true_politifact,q_0_political_views_answer,Moderate,0.26785714285714285
correct_true_politifact,q_0_political_views_answer,Very conservative,0.14285714285714285
correct_true_politifact,q_0_political_views_answer,Very liberal,0.23214285714285715
wrong_false_abc,q_0_political_views_answer,Conservative,0.19444444444444445
wrong_false_abc,q_0_political_views_answer,Liberal,0.3055555555555556
wrong_false_abc,q_0_political_views_answer,Moderate,0.08333333333333333
wrong_false_abc,q_0_political_views_answer,Very conservative,0.19444444444444445
wrong_false_abc,q_0_political_views_answer,Very liberal,0.2222222222222222
wrong_false_all,q_0_political_views_answer,Conservative,0.13636363636363635
wrong_false_all,q_0_political_views_answer,Liberal,0.2878787878787879
wrong_false_all,q_0_political_views_answer,Moderate,0.18181818181818182
wrong_false_all,q_0_political_views_answer,Very conservative,0.21212121212121213
wrong_false_all,q_0_political_views_answer,Very liberal,0.18181818181818182
wrong_false_politifact,q_0_political_views_answer,Conservative,0.06666666666666667
wrong_false_politifact,q_0_political_views_answer,Liberal,0.26666666666666666
wrong_false_politifact,q_0_political_views_answer,Moderate,0.3
wrong_false_politifact,q_0_political_views_answer,Very conservative,0.23333333333333334
wrong_false_politifact,q_0_political_views_answer,Very liberal,0.13333333333333333
wrong_true_abc,q_0_political_views_answer,Conservative,0.2
wrong_true_abc,q_0_political_views_answer,Liberal,0.3
wrong_true_abc,q_0_political_views_answer,Moderate,0.3
wrong_true_abc,q_0_political_views_answer,Very conservative,0.1
wrong_true_abc,q_0_political_views_answer,Very liberal,0.1
wrong_true_all,q_0_political_views_answer,Conservative,0.2222222222222222
wrong_true_all,q_0_political_views_answer,Liberal,0.2222222222222222
wrong_true_all,q_0_political_views_answer,Moderate,0.3333333333333333
wrong_true_all,q_0_political_views_answer,Very conservative,0.05555555555555555
wrong_true_all,q_0_political_views_answer,Very liberal,0.16666666666666666
wrong_true_politifact,q_0_political_views_answer,Conservative,0.25
wrong_true_politifact,q_0_political_views_answer,Liberal,0.125
wrong_true_politifact,q_0_political_views_answer,Moderate,0.375
wrong_true_politifact,q_0_political_views_answer,Very liberal,0.25
correct_false_abc,q_0_consideration_answer,Democrat,0.5925925925925926
correct_false_abc,q_0_consideration_answer,Independent,0.2962962962962963
correct_false_abc,q_0_consideration_answer,Republican,0.1111111111111111
correct_false_all,q_0_consideration_answer,Democrat,0.509090909090909
correct_false_all,q_0_consideration_answer,Independent,0.2909090909090909
correct_false_all,q_0_consideration_answer,Republican,0.16363636363636364
correct_false_all,q_0_consideration_answer,Something else,0.03636363636363636
correct_false_politifact,q_0_consideration_answer,Democrat,0.42857142857142855
correct_false_politifact,q_0_consideration_answer,Independent,0.2857142857142857
correct_false_politifact,q_0_consideration_answer,Republican,0.21428571428571427
correct_false_politifact,q_0_consideration_answer,Something else,0.07142857142857142
correct_true_abc,q_0_consideration_answer,Democrat,0.4583333333333333
correct_true_abc,q_0_consideration_answer,Independent,0.2708333333333333
correct_true_abc,q_0_consideration_answer,Republican,0.25
correct_true_abc,q_0_consideration_answer,Something else,0.020833333333333332
correct_true_all,q_0_consideration_answer,Democrat,0.47115384615384615
correct_true_all,q_0_consideration_answer,Independent,0.22115384615384615
correct_true_all,q_0_consideration_answer,Republican,0.28846153846153844
correct_true_all,q_0_consideration_answer,Something else,0.019230769230769232
correct_true_politifact,q_0_consideration_answer,Democrat,0.48214285714285715
correct_true_politifact,q_0_consideration_answer,Independent,0.17857142857142858
correct_true_politifact,q_0_consideration_answer,Republican,0.32142857142857145
correct_true_politifact,q_0_consideration_answer,Something else,0.017857142857142856
wrong_false_abc,q_0_consideration_answer,Democrat,0.4166666666666667
wrong_false_abc,q_0_consideration_answer,Independent,0.16666666666666666
wrong_false_abc,q_0_consideration_answer,Republican,0.4166666666666667
wrong_false_all,q_0_consideration_answer,Democrat,0.4090909090909091
wrong_false_all,q_0_consideration_answer,Independent,0.16666666666666666
wrong_false_all,q_0_consideration_answer,Republican,0.4090909090909091
wrong_false_all,q_0_consideration_answer,Something else,0.015151515151515152
wrong_false_politifact,q_0_consideration_answer,Democrat,0.4
wrong_false_politifact,q_0_consideration_answer,Independent,0.16666666666666666
wrong_false_politifact,q_0_consideration_answer,Republican,0.4
wrong_false_politifact,q_0_consideration_answer,Something else,0.03333333333333333
wrong_true_abc,q_0_consideration_answer,Democrat,0.4
wrong_true_abc,q_0_consideration_answer,Independent,0.1
wrong_true_abc,q_0_consideration_answer,Republican,0.5
wrong_true_all,q_0_consideration_answer,Democrat,0.2777777777777778
wrong_true_all,q_0_consideration_answer,Independent,0.3333333333333333
wrong_true_all,q_0_consideration_answer,Republican,0.3888888888888889
wrong_true_politifact,q_0_consideration_answer,Democrat,0.125
wrong_true_politifact,q_0_consideration_answer,Independent,0.625
wrong_true_politifact,q_0_consideration_answer,Republican,0.25
correct_false_abc,q_0_southern_border_answer,Agree,0.18518518518518517
correct_false_abc,q_0_southern_border_answer,Disagree,0.7777777777777778
correct_false_abc,q_0_southern_border_answer,No opinion either way,0.037037037037037035
correct_false_all,q_0_southern_border_answer,Agree,0.2
correct_false_all,q_0_southern_border_answer,Disagree,0.7818181818181819
correct_false_all,q_0_southern_border_answer,No opinion either way,0.01818181818181818
correct_false_politifact,q_0_southern_border_answer,Agree,0.21428571428571427
correct_false_politifact,q_0_southern_border_answer,Disagree,0.7857142857142857
correct_true_abc,q_0_southern_border_answer,Agree,0.2916666666666667
correct_true_abc,q_0_southern_border_answer,Disagree,0.6458333333333334
correct_true_abc,q_0_southern_border_answer,No opinion either way,0.0625
correct_true_all,q_0_southern_border_answer,Agree,0.33653846153846156
correct_true_all,q_0_southern_border_answer,Disagree,0.5961538461538461
correct_true_all,q_0_southern_border_answer,No opinion either way,0.0673076923076923
correct_true_politifact,q_0_southern_border_answer,Agree,0.375
correct_true_politifact,q_0_southern_border_answer,Disagree,0.5535714285714286
correct_true_politifact,q_0_southern_border_answer,No opinion either way,0.07142857142857142
wrong_false_abc,q_0_southern_border_answer,Agree,0.4722222222222222
wrong_false_abc,q_0_southern_border_answer,Disagree,0.4444444444444444
wrong_false_abc,q_0_southern_border_answer,No opinion either way,0.08333333333333333
wrong_false_all,q_0_southern_border_answer,Agree,0.45454545454545453
wrong_false_all,q_0_southern_border_answer,Disagree,0.45454545454545453
wrong_false_all,q_0_southern_border_answer,No opinion either way,0.09090909090909091
wrong_false_politifact,q_0_southern_border_answer,Agree,0.43333333333333335
wrong_false_politifact,q_0_southern_border_answer,Disagree,0.4666666666666667
wrong_false_politifact,q_0_southern_border_answer,No opinion either way,0.1
wrong_true_abc,q_0_southern_border_answer,Agree,0.5
wrong_true_abc,q_0_southern_border_answer,Disagree,0.4
wrong_true_abc,q_0_southern_border_answer,No opinion either way,0.1
wrong_true_all,q_0_southern_border_answer,Agree,0.5
wrong_true_all,q_0_southern_border_answer,Disagree,0.3888888888888889
wrong_true_all,q_0_southern_border_answer,No opinion either way,0.1111111111111111
wrong_true_politifact,q_0_southern_border_answer,Agree,0.5
wrong_true_politifact,q_0_southern_border_answer,Disagree,0.375
wrong_true_politifact,q_0_southern_border_answer,No opinion either way,0.125
correct_false_abc,q_0_environment_answer,Agree,0.8518518518518519
correct_false_abc,q_0_environment_answer,Disagree,0.07407407407407407
correct_false_abc,q_0_environment_answer,No opinion either way,0.07407407407407407
correct_false_all,q_0_environment_answer,Agree,0.8363636363636363
correct_false_all,q_0_environment_answer,Disagree,0.10909090909090909
correct_false_all,q_0_environment_answer,No opinion either way,0.05454545454545454
correct_false_politifact,q_0_environment_answer,Agree,0.8214285714285714
correct_false_politifact,q_0_environment_answer,Disagree,0.14285714285714285
correct_false_politifact,q_0_environment_answer,No opinion either way,0.03571428571428571
correct_true_abc,q_0_environment_answer,Agree,0.9375
correct_true_abc,q_0_environment_answer,Disagree,0.0625
correct_true_all,q_0_environment_answer,Agree,0.9134615384615384
correct_true_all,q_0_environment_answer,Disagree,0.0673076923076923
correct_true_all,q_0_environment_answer,No opinion either way,0.019230769230769232
correct_true_politifact,q_0_environment_answer,Agree,0.8928571428571429
correct_true_politifact,q_0_environment_answer,Disagree,0.07142857142857142
correct_true_politifact,q_0_environment_answer,No opinion either way,0.03571428571428571
wrong_false_abc,q_0_environment_answer,Agree,0.8888888888888888
wrong_false_abc,q_0_environment_answer,Disagree,0.08333333333333333
wrong_false_abc,q_0_environment_answer,No opinion either way,0.027777777777777776
wrong_false_all,q_0_environment_answer,Agree,0.8939393939393939
wrong_false_all,q_0_environment_answer,Disagree,0.07575757575757576
wrong_false_all,q_0_environment_answer,No opinion either way,0.030303030303030304
wrong_false_politifact,q_0_environment_answer,Agree,0.9
wrong_false_politifact,q_0_environment_answer,Disagree,0.06666666666666667
wrong_false_politifact,q_0_environment_answer,No opinion either way,0.03333333333333333
wrong_true_abc,q_0_environment_answer,Agree,0.9
wrong_true_abc,q_0_environment_answer,Disagree,0.1
wrong_true_all,q_0_environment_answer,Agree,0.7222222222222222
wrong_true_all,q_0_environment_answer,Disagree,0.2222222222222222
wrong_true_all,q_0_environment_answer,No opinion either way,0.05555555555555555
wrong_true_politifact,q_0_environment_answer,Agree,0.5
wrong_true_politifact,q_0_environment_answer,Disagree,0.375
wrong_true_politifact,q_0_environment_answer,No opinion either way,0.125
correct_false_abc,q_1_farmers_value,correct value,0.5925925925925926
correct_false_abc,q_1_farmers_value,wrong value,0.4074074074074074
correct_false_all,q_1_farmers_value,correct value,0.6727272727272727
correct_false_all,q_1_farmers_value,wrong value,0.32727272727272727
correct_false_politifact,q_1_farmers_value,correct value,0.75
correct_false_politifact,q_1_farmers_value,wrong value,0.25
correct_true_abc,q_1_farmers_value,correct value,0.4583333333333333
correct_true_abc,q_1_farmers_value,wrong value,0.5416666666666666
correct_true_all,q_1_farmers_value,correct value,0.46153846153846156
correct_true_all,q_1_farmers_value,wrong value,0.5384615384615384
correct_true_politifact,q_1_farmers_value,correct value,0.4642857142857143
correct_true_politifact,q_1_farmers_value,wrong value,0.5357142857142857
wrong_false_abc,q_1_farmers_value,correct value,0.3611111111111111
wrong_false_abc,q_1_farmers_value,wrong value,0.6388888888888888
wrong_false_all,q_1_farmers_value,correct value,0.36363636363636365
wrong_false_all,q_1_farmers_value,wrong value,0.6363636363636364
wrong_false_politifact,q_1_farmers_value,correct value,0.36666666666666664
wrong_false_politifact,q_1_farmers_value,wrong value,0.6333333333333333
wrong_true_abc,q_1_farmers_value,correct value,0.3
wrong_true_abc,q_1_farmers_value,wrong value,0.7
wrong_true_all,q_1_farmers_value,correct value,0.5555555555555556
wrong_true_all,q_1_farmers_value,wrong value,0.4444444444444444
wrong_true_politifact,q_1_farmers_value,correct value,0.875
wrong_true_politifact,q_1_farmers_value,wrong value,0.125
correct_false_abc,q_2_marks_value,correct value,0.3333333333333333
correct_false_abc,q_2_marks_value,wrong value,0.6666666666666666
