type,unit_id,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_0_time_elapsed,q_1_farmers_question,q_1_farmers_value,q_1_time_elapsed,q_2_marks_question,q_2_marks_value,q_2_time_elapsed,q_3_athletics_question,q_3_athletics_value,q_3_time_elapsed,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_url,doc_accesses,doc_time_elapsed
correct_false_5,unit_30,1,26-35,"Postgrad. or professional schooling, no degree","20,000 to less than 30,000",Moderate,Republican,No opinion either way,Agree,42.32,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,47.1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,30.35,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,52.89,3.0,pants-on-fire_doc5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusï½,Bloggers,2020-26-02,Internet Posts,0.0,pants-on-fire,4.0,https://leadstories.com/hoax-alert/2020/02/fact-check-hair-weaves-and-lace-front-wigs-made-in-china-not-likely-to-contain-coronavirus.html,1.0,154.75
correct_false_5,unit_96,1,36-50,4 year college/bachelor degree,"30,000 to less than 40,000",Moderate,Republican,Agree,Agree,18.61,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,29.03,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,9.53,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,27.62,1.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,4.0,https://www.youtube.com/,1.0,31.36
correct_false_5,unit_1,1,19-25,4 year college/bachelor degree,"100,000 to less than 150,000",Liberal,Democrat,Agree,Agree,21.6,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,6.23,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.03,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,7.84,2.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,4.0,https://www.snopes.com/,1.0,73.96
correct_false_5,unit_36,1,36-50,Postgrad. or professional degree (etc.),"40,000 to less than 50,000",Moderate,Republican,No opinion either way,Agree,70.94,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,40.4,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,8.34,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,59.8,3.0,pants-on-fire_doc5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,Bloggers,2020-26-02,Internet Posts,0.0,pants-on-fire,2.0,https://en.wikipedia.org/wiki/Blog,1.0,124.09
correct_false_5,unit_31,5,36-50,4 year college/bachelor degree,"40,000 to less than 50,000",Conservative,Democrat,Agree,Agree,88.18,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,68.14,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,81.35,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,145.1,2.0,pants-on-fire_doc5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,Bloggers,2020-26-02,Internet Posts,0.0,pants-on-fire,3.0,https://blog.hubspot.com/marketing/beginner-blogger-mistakes,1.0,312.39
correct_false_5,unit_83,1,26-35,4 year college/bachelor degree,"30,000 to less than 40,000",Very conservative,Republican,Agree,Agree,28.14,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,86.37,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,36.8,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,52.6,0.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,2.0,https://abc.com/shows/the-good-doctor,1.0,86.17
correct_false_5,unit_89,1,36-50,4 year college/bachelor degree,"30,000 to less than 40,000",Conservative,Democrat,Agree,Agree,73.1,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,48.93,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,27.17,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,548.19,5.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,1.0,https://www.sciencedirect.com/science/article/abs/pii/S2211285520304122,2.0,34.25
correct_false_5,unit_7,1,26-35,4 year college/bachelor degree,"30,000 to less than 40,000",Moderate,Republican,Agree,Agree,17.2,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,10.0,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,16.78,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,27.06,0.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,1.0,https://boards.straightdope.com/sdmb/printthread.php?t=808512,1.0,169.38
correct_false_5,unit_82,1,36-50,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Democrat,Agree,Agree,28.77,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,39.14,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,19.5,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,113.05,7.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,4.0,https://fcw.com/articles/2010/05/13/us-issues-redesigned-rfid-green-cards.aspx,1.0,400.76
correct_false_5,unit_84,3,36-50,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Democrat,Agree,Agree,19.71,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,10.95,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,2.74,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,2.55,3.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,4.0,https://www.facebook.com/help/1640008462980459,1.0,51.81
correct_false_5,unit_99,1,19-25,4 year college/bachelor degree,"30,000 to less than 40,000",Moderate,Democrat,Agree,Agree,20.68,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,16.79,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,98.67,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,129.21,6.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,4.0,https://www.rappler.com/newsbreak/fact-check/253181-vatican-confirms-pope-francis-tested-positive-novel-coronavirus,1.0,626.7
correct_false_5,unit_32,1,36-50,Some college (etc.),"50,000 to less than 75,000",Moderate,Republican,Agree,Agree,28.67,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,21.1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,27.82,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,37.88,3.0,pants-on-fire_doc5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,Bloggers,2020-26-02,Internet Posts,0.0,pants-on-fire,0.0,https://leadstories.com/hoax-alert/2020/02/fact-check-hair-weaves-and-lace-front-wigs-made-in-china-not-likely-to-contain-coronavirus.html,1.0,210.09
correct_false_5,unit_66,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Independent,Agree,Agree,250.47,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,640.13,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,5.89,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,10.92,3.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,1.0,https://health.clevelandclinic.org/studies-show-carriers-with-mild-or-no-symptoms-are-key-part-of-covid-19-spread/,1.0,304.18
correct_false_5,unit_86,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Conservative,Republican,Agree,Agree,32.45,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,36.1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.57,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.88,3.0,pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,3.0,https://mediabiasfactcheck.com/2020/04/04/the-latest-fact-checks-from-the-international-fact-checking-network-ifcn-04-04-2020/,1.0,67.82
correct_false_5,unit_8,5,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Democrat,Agree,Agree,18.7,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,28.29,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,13.16,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.74,2.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,4.0,https://heavy.com/news/2020/03/what-does-covid-19-stand-for/,1.0,156.76
correct_false_5,unit_69,1,50-80,4 year college/bachelor degree,"40,000 to less than 50,000",Conservative,Republican,Agree,Agree,18.02,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,6.41,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,6.51,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,6.58,6.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,5.0,https://www.statista.com/statistics/264810/number-of-monthly-active-facebook-users-worldwide/,1.0,25.7
correct_false_5,unit_38,1,36-50,High school graduate or GED (etc.),"40,000 to less than 50,000",Conservative,Republican,Agree,Agree,68.2,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,63.44,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,34.63,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,59.22,5.0,pants-on-fire_doc5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,Bloggers,2020-26-02,Internet Posts,0.0,pants-on-fire,3.0,http://www.google.com/,1.0,64.02
correct_false_5,unit_92,1,36-50,Some college (etc.),"10,000 to less than 20,000",Conservative,Republican,Agree,Agree,87.96,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,20.1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,48.28,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,22.78,0.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,5.0,https://www.snopes.com/fact-check/pope-francis-coronavirus/,1.0,350.68
correct_false_5,unit_85,1,36-50,Postgrad. or professional degree (etc.),"50,000 to less than 75,000",Conservative,Republican,Agree,Agree,41.05,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,34.64,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,10.08,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,7.35,2.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,4.0,https://mediabiasfactcheck.com/2020/04/04/the-latest-fact-checks-from-the-international-fact-checking-network-ifcn-04-04-2020/,1.0,51.56
correct_false_5,unit_90,1,26-35,4 year college/bachelor degree,"30,000 to less than 40,000",Liberal,Independent,Agree,Agree,26.28,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,73.3,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,47.79,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,58.13,5.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,4.0,https://en.wikipedia.org/wiki/Truthfulness,1.0,74.42
correct_false_5,unit_93,1,36-50,4 year college/bachelor degree,"100,000 to less than 150,000",Very conservative,Republican,Agree,Agree,30.26,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,15.3,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,9.91,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,12.3,6.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,0.0,http://www.englishteachermelanie.com/how-to-use-the-english-verb-like/,1.0,38.4
correct_false_5,unit_87,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Liberal,Democrat,Disagree,Agree,31.28,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,12.38,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,17.1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,32.17,1.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,0.0,http://teyit.link/bZrzBrK,1.0,116.41
correct_false_5,unit_88,1,26-35,Postgrad. or professional degree (etc.),"40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,171.49,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,400.58,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,380.23,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,35.5,2.0,pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,3.0,https://www.thesaurus.com/browse/half%20truth,1.0,81.86
correct_false_5,unit_94,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Moderate,Republican,Agree,Agree,42.48,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,30.95,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,25.22,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,55.73,4.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,1.0,https://www.rappler.com/newsbreak/fact-check/253181-vatican-confirms-pope-francis-tested-positive-novel-coronavirus,1.0,91.11
correct_false_5,unit_61,1,50-80,Postgrad. or professional degree (etc.),"20,000 to less than 30,000",Moderate,Independent,Disagree,Agree,28.46,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,10.95,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,22.58,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,17.64,3.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,1.0,https://www.statnews.com/2020/05/01/facebooks-covid-19-misinformation-campaign-is-based-on-research-the-authors-worry-facebook-missed-the-message/,1.0,103.38
correct_false_5,unit_68,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Conservative,Democrat,Agree,Agree,18.85,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,8.14,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,5.43,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.14,6.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,2.0,https://www.foxnews.com/world/world-health-organization-january-tweet-china-human-transmission-coronavirus,1.0,15.03
correct_false_5,unit_64,4,36-50,Some college (etc.),"40,000 to less than 50,000",Very conservative,Democrat,Agree,Agree,113.81,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,7.92,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.07,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.43,7.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,1.0,https://www.nbcnews.com/health/health-news/hydroxychloroquine-covid-19-scientists-say-it-s-time-stop-promoting-n1235347,4.0,106.86
correct_false_5,unit_3,1,50-80,4 year college/bachelor degree,"50,000 to less than 75,000",Conservative,Republican,Agree,Agree,32.17,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,43.41,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,35.5,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,73.26,6.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,1.0,https://www.snopes.com/fact-check/does-covid-stand-for/,1.0,165.12
correct_false_5,unit_97,2,26-35,4 year college/bachelor degree,"100,000 to less than 150,000",Liberal,Democrat,Agree,Agree,22.73,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,12.63,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,11.89,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,17.2,6.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,0.0,https://www.americamagazine.org/faith/2020/03/28/pope-francis-does-not-have-covid-19-sixth-vatican-employee-has-tested-positive,2.0,33.99
correct_false_5,unit_62,2,26-35,4 year college/bachelor degree,"30,000 to less than 40,000",Conservative,Republican,Agree,Agree,22.9,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,15.84,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.27,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.59,3.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,0.0,https://www.marketwatch.com/story/facebook-shouldnt-be-the-arbiter-of-truth-zuckerberg-tells-fox-news-2020-05-27,1.0,30.13
